Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,Points PF,Points.1 PA,Points.2 PD,Coaches,Top Players AV,Top Players.1 Passer,Top Players.2 Rusher,Top Players.3 Receiver,Off Rank Pts,Off Rank.1 Yds,Def Rank Pts,Def Rank.1 Yds,Overall Rank T/G,Overall Rank.1 Pts±,Overall Rank.2 Yds±,Overall Rank.3 out of,Simple Rating System MoV,Simple Rating System.1 SoS,Simple Rating System.2 SRS,Simple Rating System.3 OSRS,Simple Rating System.4 DSRS,Team
1988,NFL,Los Angeles Rams*,10,6,0,2nd of 4,Lost WC,407,293,114,Robinson,Everett,Everett,Bell,Ellard,3,3,7,9,10,3,5,28,7.1,-0.6,6.5,5.6,0.9,Rams
1987,NFL,Los Angeles Rams,6,9,0,3rd of 4,,317,361,-44,Robinson,White,Everett,White,Ellard,16,19,22,21,21,21,23,28,-2.9,1.1,-1.8,-0.6,-1.2,Rams
1986,NFL,Los Angeles Rams*,10,6,0,2nd of 4,Lost WC,309,267,42,Robinson,Irvin,Everett,Dickerson,Ellard,17,23,4,5,9,10,18,28,2.6,-0.8,1.9,-1.1,2.9,Rams
1985,NFL,Los Angeles Rams*,11,5,0,1st of 4,Lost Conf,340,277,63,Robinson,Irvin,Brock,Dickerson,Ellard,15,26,4,5,3,7,17,28,3.9,-1.3,2.6,-1.0,3.6,Rams
1984,NFL,Los Angeles Rams*,10,6,0,2nd of 4,Lost WC,346,316,30,Robinson,Dickerson,Kemp,Dickerson,Ellard,12,21,13,14,8,11,20,28,1.9,0.4,2.3,1.0,1.3,Rams
1983,NFL,Los Angeles Rams*,9,7,0,2nd of 4,Lost Div,361,344,17,Robinson,Dickerson,Ferragamo,Dickerson,Barber,11,12,15,15,18,10,16,28,1.1,1.8,2.9,2.0,0.9,Rams
1982,NFL,Los Angeles Rams,2,7,0,4th of 4,,200,250,-50,Malavasi,Tyler,Ferragamo,Tyler,Dennard,9,6,28,27,24,25,23,28,-5.6,-1.4,-6.9,0.9,-7.9,Rams
1981,NFL,Los Angeles Rams,6,10,0,3rd of 4,,303,351,-48,Malavasi,Cromwell,Haden,Tyler,Dennard,21,24,17,8,24,19,20,28,-3.0,0.6,-2.4,-1.4,-1.0,Rams
1980,NFL,Los Angeles Rams*,11,5,0,2nd of 4,Lost WC,424,289,135,Malavasi,Hill,Ferragamo,Bryant,Waddy,3,2,7,4,9,3,2,28,8.4,-1.9,6.5,4.4,2.1,Rams
1979,NFL,Los Angeles Rams*,9,7,0,1st of 4,Lost SB,323,309,14,Malavasi,Youngblood,Haden,Tyler,Dennard,15,13,11,7,21,13,6,28,0.9,-1.5,-0.6,-1.2,0.6,Rams
1978,NFL,Los Angeles Rams*,12,4,0,1st of 4,Lost Conf,316,245,71,Malavasi,Youngblood,Haden,Bryant,Miller,9,6,4,1,15,6,3,28,4.4,-1.2,3.2,1.3,1.9,Rams
1977,NFL,Los Angeles Rams*,10,4,0,1st of 4,Lost Div,302,146,156,Knox,McCutcheon,Haden,McCutcheon,Jackson,4,5,2,4,4,1,2,28,11.1,-2.7,8.5,3.8,4.6,Rams
1976,NFL,Los Angeles Rams*,10,3,1,1st of 5,Lost Conf,351,190,161,Knox,Jackson,Harris,McCutcheon,Jessie,3,5,3,4,4,3,2,28,11.5,-1.0,10.5,5.9,4.5,Rams
1975,NFL,Los Angeles Rams*,12,2,0,1st of 4,Lost Conf,312,135,177,Knox,Youngblood,Harris,McCutcheon,Jackson,11,9,1,2,3,3,4,26,12.6,-3.5,9.1,0.5,8.7,Rams
1974,NFL,Los Angeles Rams*,10,4,0,1st of 4,Lost Conf,263,181,82,Knox,McCutcheon,Harris,McCutcheon,Jackson,13,9,1,3,16,6,4,26,5.9,-1.9,3.9,-0.1,4.0,Rams
1973,NFL,Los Angeles Rams*,12,2,0,1st of 4,Lost Div,388,178,210,Knox,McCutcheon,Hadl,McCutcheon,Jackson,1,1,4,1,1,1,1,26,15.0,-1.6,13.4,8.2,5.2,Rams
1972,NFL,Los Angeles Rams,6,7,1,3rd of 4,,291,286,5,Prothro,Mack,Gabriel,Ellison,Snow,14,7,16,11,17,15,9,26,0.4,-0.9,-0.5,0.1,-0.6,Rams
1971,NFL,Los Angeles Rams,8,5,1,2nd of 4,,313,260,53,Prothro,Ellison,Gabriel,Ellison,Snow,5,8,8,14,10,10,10,26,3.8,2.8,6.6,4.2,2.4,Rams
1970,NFL,Los Angeles Rams,9,4,1,2nd of 4,,325,202,123,Allen,Olsen,Gabriel,Josephson,Snow,4,6,2,3,8,3,3,26,8.8,0.8,9.6,4.4,5.3,Rams
1969,NFL,Los Angeles Rams*,11,3,0,1st of 4,Lost Div,320,243,77,Allen,Gabriel,Gabriel,Smith,Snow,4,12,5,6,1,3,8,16,5.5,1.6,7.1,3.2,3.9,Rams
1968,NFL,Los Angeles Rams,10,3,1,2nd of 4,,312,200,112,Allen,Jones,Gabriel,Ellison,Casey,5,8,3,1,2,4,3,16,8.0,0.7,8.7,2.0,6.7,Rams
1967,NFL,Los Angeles Rams*,11,1,2,1st of 4,Lost Div,398,196,202,Allen,Jones,Gabriel,Josephson,Casey,1,6,1,3,1,1,2,16,14.4,-0.9,13.6,6.6,7.0,Rams
1966,NFL,Los Angeles Rams,8,6,0,3rd of 7,,289,212,77,Allen,Jones,Gabriel,Bass,McDonald,10,7,2,4,3,5,6,15,5.5,0.5,6.0,-0.5,6.5,Rams
1965,NFL,Los Angeles Rams,4,10,0,7th of 7,,269,328,-59,Svare,Jones,Munson,Bass,McDonald,11,8,9,4,13,12,7,14,-4.2,7.1,2.9,-1.1,4.0,Rams
1964,NFL,Los Angeles Rams,5,7,2,5th of 7,,283,339,-56,Svare,Jones,Munson,Wilson,Pope,8,12,12,6,10,10,11,14,-4.0,3.1,-0.9,0.2,-1.0,Rams
