Year,Conf,Overall W,Overall L,Overall T,Overall Pct,Conference W,Conference L,Conference T,Conference Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes,Team
1945,PCC,7,4,0.0,0.636,5,1,0,0.833,-1.28,-3.82,,6.0,11.0,Jeff Cravath (7-4),Rose Bowl-L,,USC
1944,PCC,8,0,2.0,0.9,3,0,2,0.8,10.17,-4.43,,7.0,7.0,Jeff Cravath (8-0-2),Rose Bowl-W,,USC
1943,PCC,8,2,0.0,0.8,4,0,0,1.0,2.83,-6.17,,4.0,,Jeff Cravath (8-2),Rose Bowl-W,,USC
1942,PCC,5,5,1.0,0.5,4,2,1,0.643,7.41,5.05,,14.0,,Jeff Cravath (5-5-1),,,USC
1941,PCC,2,6,1.0,0.278,2,4,1,0.35700000000000004,7.78,15.01,,,,Sam Barry (2-6-1),,,USC
1940,PCC,3,4,2.0,0.444,2,3,2,0.429,7.69,9.02,,17.0,,Howard Jones (3-4-2),,,USC
1939,PCC,8,0,2.0,0.9,5,0,2,0.857,17.0,3.3,,1.0,3.0,Howard Jones (8-0-2),Rose Bowl-W,,USC
1938,PCC,9,2,0.0,0.818,6,1,0,0.857,18.35,9.8,,7.0,7.0,Howard Jones (9-2),Rose Bowl-W,,USC
1937,PCC,4,4,2.0,0.5,2,3,2,0.429,7.64,5.34,,11.0,,Howard Jones (4-4-2),,,USC
1936,PCC,4,2,3.0,0.611,3,2,2,0.5710000000000001,13.26,7.26,,6.0,,Howard Jones (4-2-3),,,USC
1935,PCC,5,7,0.0,0.41700000000000004,2,4,0,0.33299999999999996,4.79,3.87,,,,Howard Jones (5-7),,,USC
1934,PCC,4,6,1.0,0.409,1,4,1,0.25,3.24,3.42,,,,Howard Jones (4-6-1),,,USC
1933,PCC,10,1,1.0,0.875,4,1,1,0.75,19.91,5.66,,,,Howard Jones (10-1-1),,,USC
1932,PCC,10,0,0.0,1.0,6,0,0,1.0,26.25,10.05,,,,Howard Jones (10-0),Rose Bowl-W,,USC
